=== 粒子滤波定位结果 ===
总步数: 743
粒子数量: 100

步数,时间,估计X,估计Y,估计角度,真实X,真实Y,误差距离
0,328.06,1.704,-0.015,-2.057,0.000,0.000,0.000
1,328.13,1.704,-0.015,-2.058,0.000,0.000,0.000
2,328.19,1.704,-0.015,-2.058,0.000,0.000,0.000
3,328.26,1.704,-0.015,-2.059,0.000,0.000,0.000
4,328.32,1.704,-0.015,-2.060,0.000,0.000,0.000
5,328.38,1.704,-0.015,-2.061,0.000,0.000,0.000
6,328.45,1.704,-0.015,-2.061,0.000,0.000,0.000
7,328.51,1.704,-0.015,-2.061,0.000,0.000,0.000
8,328.58,1.704,-0.015,-2.061,0.000,0.000,0.000
9,328.64,1.704,-0.015,-2.060,0.000,0.000,0.000
10,328.70,1.677,0.009,-1.220,0.000,0.000,0.000
11,328.77,1.677,0.009,-1.220,0.000,0.000,0.000
12,328.83,1.677,0.009,-1.219,0.000,0.000,0.000
13,328.90,1.677,0.009,-1.220,0.000,0.000,0.000
14,328.96,1.677,0.009,-1.219,0.000,0.000,0.000
15,329.02,1.677,0.009,-1.220,0.000,0.000,0.000
16,329.09,1.677,0.009,-1.219,0.000,0.000,0.000
17,329.15,1.677,0.009,-1.220,0.000,0.000,0.000
18,329.22,1.677,0.009,-1.219,0.000,0.000,0.000
19,329.28,1.677,0.009,-1.218,0.000,0.000,0.000
20,329.34,1.751,0.002,-1.272,0.000,0.000,0.000
21,329.41,1.751,0.002,-1.272,0.000,0.000,0.000
22,329.47,1.751,0.002,-1.270,0.000,0.000,0.000
23,329.54,1.751,0.002,-1.270,0.000,0.000,0.000
24,329.60,1.751,0.002,-1.269,0.000,0.000,0.000
25,329.66,1.751,0.002,-1.270,0.000,0.000,0.000
26,329.73,1.751,0.002,-1.269,0.000,0.000,0.000
27,329.79,1.751,0.003,-1.270,0.000,0.000,0.000
28,329.86,1.751,0.003,-1.269,0.000,0.000,0.000
29,329.92,1.751,0.003,-1.270,0.000,0.000,0.000
30,329.98,1.654,0.001,-1.445,0.000,0.000,0.000
31,330.05,1.654,0.001,-1.444,0.000,0.000,0.000
32,330.11,1.654,0.001,-1.443,0.000,0.000,0.000
33,330.18,1.654,0.001,-1.443,0.000,0.000,0.000
34,330.24,1.654,0.001,-1.443,0.000,0.000,0.000
35,330.30,1.654,0.001,-1.443,0.000,0.000,0.000
36,330.37,1.654,0.001,-1.442,0.000,0.000,0.000
37,330.43,1.654,0.001,-1.443,0.000,0.000,0.000
38,330.50,1.654,0.001,-1.443,0.000,0.000,0.000
39,330.56,1.654,0.001,-1.444,0.000,0.000,0.000
40,330.62,1.777,0.003,-1.319,0.000,0.000,0.000
41,330.69,1.777,0.003,-1.319,0.000,0.000,0.000
42,330.75,1.777,0.003,-1.318,0.000,0.000,0.000
43,330.82,1.777,0.003,-1.319,0.000,0.000,0.000
44,330.88,1.777,0.003,-1.319,0.000,0.000,0.000
45,330.94,1.777,0.003,-1.319,0.000,0.000,0.000
46,331.01,1.777,0.003,-1.319,0.000,0.000,0.000
47,331.07,1.777,0.004,-1.319,0.000,0.000,0.000
48,331.14,1.777,0.004,-1.319,0.000,0.000,0.000
49,331.20,1.777,0.004,-1.319,0.000,0.000,0.000
50,331.26,1.826,0.010,-1.180,0.000,0.000,0.000
51,331.33,1.826,0.010,-1.180,0.000,0.000,0.000
52,331.39,1.826,0.010,-1.181,0.000,0.000,0.000
53,331.46,1.826,0.010,-1.180,0.000,0.000,0.000
54,331.52,1.826,0.010,-1.181,0.000,0.000,0.000
