=== 简单建图数据 ===
总步数: 329
总时间: 427.07秒

=== 扫描数据 ===
步数,时间,X,Y,角度,前方,左侧,右侧,后方,最小距离
0,406.02,0.000,0.000,-0.215,1.98,0.69,3.34,inf,0.69
1,406.08,0.010,0.000,-0.215,1.98,0.69,3.33,inf,0.69
2,406.14,0.020,0.000,-0.215,1.98,0.68,3.34,inf,0.68
3,406.21,0.030,0.000,-0.215,1.97,0.68,3.34,inf,0.68
4,406.27,0.040,0.000,-0.215,1.98,0.69,3.33,inf,0.69
5,406.34,0.050,0.000,-0.215,1.97,0.67,3.33,inf,0.67
6,406.40,0.060,0.000,-0.215,1.98,0.69,3.34,inf,0.69
7,406.46,0.070,0.000,-0.215,1.97,0.68,3.34,inf,0.68
8,406.53,0.080,0.000,-0.215,1.97,0.68,3.34,inf,0.68
9,406.59,0.090,0.000,-0.215,1.98,0.69,3.33,inf,0.69
10,406.66,0.100,0.000,-0.215,1.97,0.68,3.34,inf,0.68
11,406.72,0.110,0.000,-0.215,1.97,0.68,3.33,inf,0.68
12,406.78,0.120,0.000,-0.215,1.98,0.69,3.34,inf,0.69
13,406.85,0.130,0.000,-0.215,1.97,0.68,3.33,inf,0.68
14,406.91,0.140,0.000,-0.215,1.98,0.69,3.33,inf,0.69
15,406.98,0.150,0.000,-0.215,1.97,0.68,3.34,inf,0.68
16,407.04,0.160,0.000,-0.215,1.97,0.68,3.34,inf,0.68
17,407.10,0.170,0.000,-0.215,1.98,0.69,3.33,inf,0.69
18,407.17,0.180,0.000,-0.215,1.98,0.68,3.34,inf,0.68
19,407.23,0.190,0.000,-0.215,1.98,0.69,3.33,inf,0.69
20,407.30,0.200,0.000,-0.215,1.98,0.68,3.34,inf,0.68
21,407.36,0.210,0.000,-0.215,1.97,0.68,3.34,inf,0.68
22,407.42,0.220,0.000,-0.215,1.98,0.69,3.34,inf,0.69
23,407.49,0.230,0.000,-0.215,1.97,0.68,3.34,inf,0.68
24,407.55,0.240,0.000,-0.215,1.97,0.68,3.34,inf,0.68
25,407.62,0.250,0.000,-0.215,1.97,0.68,3.33,inf,0.68
26,407.68,0.260,0.000,-0.215,1.97,0.68,3.34,inf,0.68
27,407.74,0.270,0.000,-0.215,1.98,0.69,3.33,inf,0.69
28,407.81,0.280,0.000,-0.215,1.97,0.68,3.33,inf,0.68
29,407.87,0.290,0.000,-0.215,1.96,0.67,3.32,inf,0.67
30,407.94,0.300,0.000,-0.215,1.98,0.69,3.33,inf,0.69
31,408.00,0.310,0.000,-0.215,1.97,0.69,3.33,inf,0.69
32,408.06,0.320,0.000,-0.215,1.96,0.68,3.33,inf,0.68
33,408.13,0.330,0.000,-0.215,1.95,0.68,3.33,inf,0.68
34,408.19,0.340,0.000,-0.215,1.96,0.68,3.33,inf,0.68
35,408.26,0.350,0.000,-0.215,1.96,0.69,3.32,inf,0.69
36,408.32,0.360,0.000,-0.215,1.96,0.69,3.33,inf,0.69
37,408.38,0.370,0.000,-0.215,1.96,0.69,3.33,inf,0.69
38,408.45,0.380,0.000,-0.215,1.96,0.68,3.33,inf,0.68
39,408.51,0.390,0.000,-0.215,1.96,0.68,3.34,inf,0.68
40,408.58,0.400,0.000,-0.215,1.95,0.68,3.32,inf,0.68
41,408.64,0.410,0.000,-0.215,1.95,0.69,3.34,inf,0.69
42,408.70,0.420,0.000,-0.215,1.95,0.69,3.32,inf,0.69
43,408.77,0.430,0.000,-0.215,1.95,0.69,3.33,inf,0.69
44,408.83,0.440,0.000,-0.215,1.94,0.69,3.32,inf,0.69
45,408.90,0.450,0.000,-0.215,1.93,0.69,3.33,inf,0.69
46,408.96,0.460,0.000,-0.215,1.94,0.70,3.32,inf,0.70
47,409.02,0.470,0.000,-0.215,1.92,0.69,3.32,inf,0.69
48,409.09,0.480,0.000,-0.215,1.93,0.69,3.33,inf,0.69
49,409.15,0.490,0.000,-0.215,1.92,0.70,3.31,inf,0.70
50,409.22,0.500,0.000,-0.215,1.92,0.70,3.32,inf,0.70
51,409.28,0.510,0.000,-0.215,1.91,0.70,3.31,inf,0.70
52,409.34,0.520,0.000,-0.168,1.89,0.68,3.25,inf,0.68
