=== 自动建图数据 ===
总步数: 1224
总时间: 85.31秒
建图方式: 自动探索算法

=== 扫描数据 ===
步数,时间,X,Y,角度,前方,左侧,右侧,后方,最小距离
0,6.98,0.000,0.000,0.028,2.71,2.97,3.01,3.29,2.71
1,7.04,0.010,0.000,-0.055,2.71,2.94,3.03,3.28,2.71
2,7.10,0.020,0.000,-0.055,2.71,2.94,3.03,3.29,2.71
3,7.17,0.030,0.000,-0.055,2.70,2.93,3.03,3.29,2.70
4,7.23,0.040,0.000,-0.055,2.69,2.93,3.03,3.30,2.69
5,7.30,0.050,0.000,-0.055,2.69,2.94,3.04,3.31,2.69
6,7.36,0.060,0.000,-0.055,2.68,2.94,3.03,3.32,2.68
7,7.42,0.070,0.000,-0.055,2.68,2.94,3.04,3.33,2.68
8,7.49,0.080,0.000,-0.055,2.67,2.93,3.03,3.33,2.67
9,7.55,0.090,0.000,-0.055,2.67,2.94,3.04,3.34,2.67
10,7.62,0.100,0.000,-0.055,2.66,2.93,3.02,3.34,2.66
11,7.68,0.110,0.000,-0.055,2.65,2.93,0.41,3.34,0.41
12,7.74,0.120,0.000,-0.055,2.64,2.93,0.42,3.35,0.42
13,7.81,0.130,0.000,-0.055,2.64,2.94,0.42,3.36,0.42
14,7.87,0.140,0.000,-0.055,2.63,2.93,0.42,3.37,0.42
15,7.94,0.150,0.000,-0.055,2.63,2.93,0.42,3.37,0.42
16,8.00,0.160,0.000,-0.055,2.62,2.92,0.41,3.38,0.41
17,8.06,0.170,0.000,-0.055,2.60,2.92,0.41,3.38,0.41
18,8.13,0.180,0.000,-0.055,2.60,2.92,0.41,3.38,0.41
19,8.19,0.190,0.000,-0.055,2.60,2.92,0.41,3.39,0.41
20,8.26,0.200,0.000,-0.055,2.59,2.92,0.41,3.40,0.41
21,8.32,0.210,0.000,-0.055,2.59,2.93,0.41,3.41,0.41
22,8.38,0.220,0.000,-0.055,2.58,2.92,0.41,3.42,0.41
23,8.45,0.230,0.000,-0.055,2.57,2.91,0.41,3.42,0.41
24,8.51,0.240,0.000,-0.055,2.57,2.92,0.42,3.44,0.42
25,8.58,0.250,0.000,-0.055,2.57,2.92,0.42,3.44,0.42
26,8.64,0.260,0.000,-0.055,2.55,2.92,0.41,3.44,0.41
27,8.70,0.270,0.000,-0.055,2.55,2.92,0.41,3.45,0.41
28,8.77,0.280,0.000,-0.055,2.54,2.92,0.41,3.45,0.41
29,8.83,0.290,0.000,-0.055,2.54,2.92,0.42,3.47,0.42
30,8.90,0.300,0.000,-0.055,2.53,2.91,0.41,3.46,0.41
31,8.96,0.310,0.000,-0.055,2.52,2.92,0.41,3.47,0.41
32,9.02,0.320,0.000,-0.055,2.52,2.92,0.41,3.48,0.41
33,9.09,0.330,0.000,-0.055,2.51,2.91,0.41,3.49,0.41
34,9.15,0.340,0.000,-0.055,2.51,2.91,0.41,3.50,0.41
35,9.22,0.350,0.000,-0.055,2.51,2.92,0.42,5.00,0.42
36,9.28,0.360,0.000,-0.055,2.50,2.92,0.42,5.00,0.42
37,9.34,0.370,0.000,-0.055,2.50,2.92,0.42,5.00,0.42
38,9.41,0.380,0.000,-0.055,2.47,2.90,0.40,5.00,0.40
39,9.47,0.390,0.000,-0.055,2.47,2.91,0.41,5.00,0.41
40,9.54,0.400,0.000,-0.055,2.47,2.91,0.41,5.00,0.41
41,9.60,0.410,0.000,-0.055,2.47,2.91,0.41,5.00,0.41
42,9.66,0.420,0.000,-0.055,2.45,2.90,0.40,5.00,0.40
43,9.73,0.430,0.000,-0.055,2.46,2.91,0.41,5.00,0.41
44,9.79,0.440,0.000,-0.055,2.44,2.90,0.41,5.00,0.41
45,9.86,0.450,0.000,-0.055,2.43,2.90,0.40,5.00,0.40
46,9.92,0.460,0.000,-0.055,2.42,2.90,0.40,5.00,0.40
47,9.98,0.470,0.000,-0.055,2.41,2.89,0.39,5.00,0.39
48,10.05,0.480,0.000,-0.055,2.41,2.90,0.40,5.00,0.40
49,10.11,0.490,0.000,-0.055,2.41,2.89,0.41,5.00,0.41
50,10.18,0.500,0.000,-0.055,2.41,2.89,0.41,5.00,0.41
51,10.24,0.510,0.000,-0.055,2.40,2.90,0.40,5.00,0.40
52,10.30,0.520,0.000,-0.055,2.39,2.88,0.40,5.00,0.40
53,10.37,0.530,0.000,-0.055,2.39,2.88,0.41,5.00,0.41
54,10.43,0.540,0.000,-0.055,2.38,2.88,0.40,5.00,0.40
55,10.50,0.550,0.000,-0.055,2.38,2.88,0.41,5.00,0.41
56,10.56,0.560,0.000,-0.055,2.35,2.88,0.39,5.00,0.39
57,10.62,0.570,0.000,-0.055,2.37,2.88,0.41,5.00,0.41
58,10.69,0.580,0.000,-0.055,2.36,2.88,0.44,5.00,0.44
59,10.75,0.590,0.000,-0.055,2.35,2.88,0.57,5.00,0.57
60,10.82,0.600,0.000,-0.055,2.35,2.88,0.66,5.00,0.66
61,10.88,0.610,0.000,0.034,2.34,2.94,2.92,5.00,2.34
62,10.94,0.620,0.000,0.034,2.32,2.93,2.91,5.00,2.32
63,11.01,0.630,0.000,0.034,2.34,2.93,2.92,5.00,2.34
64,11.07,0.640,0.000,0.034,2.32,2.93,2.92,5.00,2.32
65,11.14,0.650,0.000,0.034,2.32,2.93,2.92,5.00,2.32
66,11.20,0.660,0.000,0.034,2.31,2.93,2.91,5.00,2.31
67,11.26,0.670,0.000,0.034,2.29,2.92,2.91,5.00,2.29
68,11.33,0.680,0.000,0.034,2.29,2.92,2.91,5.00,2.29
69,11.39,0.690,0.000,0.034,2.30,2.94,2.91,5.00,2.30
70,11.46,0.700,0.000,0.034,2.29,2.92,2.91,5.00,2.29
71,11.52,0.710,0.000,0.034,2.28,2.92,2.91,5.00,2.28
72,11.58,0.720,0.000,0.034,2.28,2.92,2.91,5.00,2.28
73,11.65,0.730,0.000,0.034,2.26,2.92,2.90,5.00,2.26
74,11.71,0.740,0.000,0.034,2.25,2.91,2.90,5.00,2.25
75,11.78,0.750,0.000,0.034,2.26,2.92,2.90,5.00,2.26
76,11.84,0.760,0.000,0.034,2.26,2.92,2.90,5.00,2.26
77,11.90,0.770,0.000,0.034,2.25,2.91,2.90,5.00,2.25
78,11.97,0.780,0.000,0.034,2.22,2.90,2.90,5.00,2.22
79,12.03,0.790,0.000,0.034,2.23,2.92,2.90,5.00,2.23
80,12.10,0.800,0.000,0.034,2.22,2.91,2.89,5.00,2.22
81,12.16,0.810,0.000,0.034,2.20,2.90,2.89,5.00,2.20
82,12.22,0.820,0.000,0.034,2.22,2.91,2.89,5.00,2.22
83,12.29,0.830,0.000,0.034,2.20,2.90,2.88,5.00,2.20
84,12.35,0.840,0.000,0.034,2.20,2.90,2.88,5.00,2.20
85,12.42,0.850,0.000,0.034,2.19,2.89,2.89,5.00,2.19
86,12.48,0.860,0.000,0.034,2.19,2.91,2.88,5.00,2.19
87,12.54,0.870,0.000,0.034,2.17,2.90,2.88,5.00,2.17
88,12.61,0.880,0.000,0.034,2.17,2.89,2.87,5.00,2.17
89,12.67,0.890,0.000,0.034,2.16,2.89,2.87,5.00,2.16
90,12.74,0.900,0.000,0.034,2.16,2.89,2.87,5.00,2.16
91,12.80,0.910,0.000,0.121,1.31,2.97,2.81,1.80,1.31
92,12.86,0.920,0.000,0.121,1.30,2.96,2.80,1.80,1.30
93,12.93,0.930,0.000,0.121,1.30,2.95,2.80,1.82,1.30
94,12.99,0.940,0.000,0.121,1.29,2.96,2.78,1.82,1.29
95,13.06,0.950,0.000,0.121,1.29,2.96,2.81,1.83,1.29
96,13.12,0.960,0.000,0.121,1.28,2.96,2.78,1.83,1.28
97,13.18,0.970,0.000,0.121,1.28,2.95,2.79,1.84,1.28
98,13.25,0.980,0.000,0.121,1.27,2.95,2.79,1.85,1.27
99,13.31,0.990,0.000,0.121,1.26,2.95,2.79,1.85,1.26
100,13.38,1.000,0.000,0.121,1.25,2.95,2.79,1.85,1.25
101,13.44,1.010,0.000,0.121,1.26,2.94,2.78,1.87,1.26
102,13.50,1.020,0.000,0.121,1.25,2.94,2.78,1.88,1.25
103,13.57,1.030,0.000,0.121,1.24,2.94,2.78,1.89,1.24
104,13.63,1.040,0.000,0.121,1.23,2.93,2.77,1.89,1.23
105,13.70,1.050,0.000,0.121,1.22,2.94,2.78,1.89,1.22
106,13.76,1.060,0.000,0.121,1.22,2.93,2.76,1.90,1.22
107,13.82,1.070,0.000,0.121,1.21,2.93,2.77,1.90,1.21
108,13.89,1.080,0.000,0.121,1.20,2.92,2.77,1.90,1.20
109,13.95,1.090,0.000,0.121,1.21,2.93,2.76,1.93,1.21
110,14.02,1.100,0.000,0.121,1.18,2.92,2.76,1.91,1.18
111,14.08,1.110,0.000,0.121,1.19,2.92,2.76,1.93,1.19
112,14.14,1.120,0.000,0.121,1.18,2.91,2.75,1.94,1.18
113,14.21,1.130,0.000,0.121,1.17,2.91,2.76,1.94,1.17
114,14.27,1.140,0.000,0.121,1.16,2.92,2.76,1.94,1.16
115,14.34,1.150,0.000,0.121,1.16,2.91,2.75,1.95,1.16
116,14.40,1.160,0.000,0.121,1.15,2.90,2.74,1.96,1.15
117,14.46,1.170,0.000,0.121,1.15,2.91,2.75,1.96,1.15
118,14.53,1.180,0.000,0.121,1.13,2.90,2.74,1.96,1.13
119,14.59,1.190,0.000,0.121,1.14,2.90,2.75,1.99,1.14
120,14.66,1.200,0.000,0.121,1.12,2.90,2.74,1.98,1.12
121,14.72,1.210,0.000,0.031,1.97,2.81,2.84,5.00,1.97
122,14.78,1.220,0.000,0.031,1.96,2.81,2.84,5.00,1.96
123,14.85,1.230,0.000,0.031,1.97,2.79,2.83,5.00,1.97
124,14.91,1.240,0.000,0.031,1.95,2.80,2.84,5.00,1.95
125,14.98,1.250,0.000,0.031,1.96,2.79,2.83,5.00,1.96
126,15.04,1.260,0.000,0.031,1.94,2.79,2.82,5.00,1.94
127,15.10,1.270,0.000,0.031,1.94,2.78,2.82,5.00,1.94
128,15.17,1.280,0.000,0.031,1.93,2.78,2.82,5.00,1.93
129,15.23,1.290,0.000,0.031,1.92,2.77,2.81,5.00,1.92
